Patch.ID,Cover.dendro
EBW-0001,PICO
EBW-0006,PICO
EBW-0007,PICO
EBW-0008,PICO
EBW-0009,MMC
EBW-0010,PICO
EBW-0011,Mixedwood
EBW-0012,PICO
EBW-0015,PICO
EBW-0016,MMC
EBW-0017,Mixedwood
EBW-0018,PIEN
EBW-0020,MMC
EBW-0021,PICO
EBW-0022,PICO
EBW-0023,PICO
EBW-0037,PICO
EBW-0038,PICO
OME-0005,PSME
OME-0006,PSME
OME-0009,Broadleaf
OME-0010,PSME
OMN-0004,MMC
OMN-0006,PSME
OMN-0007,DMC-PSME
OMW-0001,PICO
OMW-0002,PICO
OMW-0003,PICO
OMW-0004,PICO
OMW-0006,PICO
OMW-0008,PICO
OMW-0009,PICO
OMW-0011,PICO
OMW-0012,PICO
OMW-0014,PICO
PHN-0011,PSME
PHN-0012,DMC-PSME
PHN-0013,PSME
PHN-0014,PSME
PHN-0015,PICO
PHN-0017,DMC-PSME
PHN-0019,MMC
PHN-0020,PSME
PHN-0021,MMC
SHP-0002,PICO
SHP-0004,PICO
SHP-0005,Mixedwood
SHP-0006,PICO
SHP-0008,MMC
SHP-0013,PICO
SHP-0016,PICO
