Study.area,Patch.ID,Core.ID,Species,Outer.ring,Establishment.date,Reconstructed.age,Est.bin,Shade.tolerance,Functional.type
EBW,EBW-0001,EBW-2017-0006,PICO,2016,1917,100,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0007,PICO,2016,1902,115,1900,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0008,PICO,2016,1914,103,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0009,PICO,2016,1921,96,1920,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0010,PICO,2016,1922,95,1920,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0011,PICO,2016,1912,105,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0012,PICO,2016,1928,89,1920,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0013,PICO,2016,1921,96,1920,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0014,PICO,2016,1916,101,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0015,PICO,2016,1912,105,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0016,PICO,2016,1924,93,1920,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0025,PICO,2016,1852,165,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0026,PICO,2002,1851,166,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0027,PICO,1996,1851,166,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0028,PICO,2016,1850,167,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0029,PICO,2016,1869,148,1860,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0030,PICO,2016,1858,159,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0031,PICO,2015,1862,155,1860,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0032,PICO,2016,1871,146,1870,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0033,PICO,2006,1862,155,1860,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0034,PICO,2012,1855,162,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0035,PICO,2015,1851,166,1850,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0045,PICO,2016,1908,109,1900,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0046,PICO,1999,1899,118,1890,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0047,PICO,2016,1908,109,1900,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0048,PICO,2016,1901,116,1900,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0049,PICO,2016,1902,115,1900,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0050,PICO,2007,1892,125,1890,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0051,PICO,2016,1911,106,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0052,PICO,2003,1897,120,1890,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0053,PICO,2016,1910,107,1910,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0054,PICO,2016,1895,122,1890,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0055,PICO,2014,1891,126,1890,Intolerant,Intolerant conifer
EBW,EBW-0001,EBW-2017-0056,PICO,2016,1908,109,1900,Intolerant,Intolerant conifer
