"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.4-5",NA,NA,NA,NA
"ade4","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.7-18",NA,NA,NA,NA
"adehabitatHR","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.4.19",NA,NA,NA,NA
"adehabitatLT","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.3.25",NA,NA,NA,NA
"adehabitatMA","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.3.14",NA,NA,NA,NA
"admisc","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.26",NA,NA,NA,NA
"AICcmodavg","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","2.3-1",NA,NA,NA,NA
"alphahull","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","2.4",NA,NA,NA,NA
"amc","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.2.1","amc","achubaty","development","15c5229951700f9a638fd186f176f0e793d76c10"
"ape","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","5.6-2",NA,NA,NA,NA
"arm","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.12-2",NA,NA,NA,NA
"askpass","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.1",NA,NA,NA,NA
"assertthat","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.2.1",NA,NA,NA,NA
"backports","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.4.1",NA,NA,NA,NA
"base64enc","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.1-3",NA,NA,NA,NA
"basicPlotteR","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.0.0.9000","basicPlotteR","JosephCrispell","HEAD","4628140c8eac2adac70d85632b9d0966a374e4bf"
"bench","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.1.2",NA,NA,NA,NA
"BH","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.78.0-0",NA,NA,NA,NA
"binaryLogic","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.3.9",NA,NA,NA,NA
"biomod2","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","3.5.1",NA,NA,NA,NA
"bipartite","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","2.16",NA,NA,NA,NA
"bit","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","4.0.4",NA,NA,NA,NA
"bit64","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","4.0.5",NA,NA,NA,NA
"bitops","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.0-7",NA,NA,NA,NA
"blme","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.0-5",NA,NA,NA,NA
"blob","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.2.2",NA,NA,NA,NA
"blockmodels","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.1.5",NA,NA,NA,NA
"bookdown","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.25",NA,NA,NA,NA
"brew","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.0-7",NA,NA,NA,NA
"brio","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.1.3",NA,NA,NA,NA
"broom","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.7.12",NA,NA,NA,NA
"broom.mixed","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.2.7",NA,NA,NA,NA
"bslib","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.3.1",NA,NA,NA,NA
"cachem","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.0.6",NA,NA,NA,NA
"callr","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","3.7.0",NA,NA,NA,NA
"car","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","3.0-12",NA,NA,NA,NA
"carData","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","3.0-5",NA,NA,NA,NA
"caret","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","6.0-91",NA,NA,NA,NA
"caTools","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.18.2",NA,NA,NA,NA
"CDM","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","7.5-15",NA,NA,NA,NA
"cellranger","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.1.0",NA,NA,NA,NA
"cffdrs","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","1.8.18",NA,NA,NA,NA
"checkmate","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","2.0.0",NA,NA,NA,NA
"cheddar","D:/GitHub/LandscapesInMotion/packages/x86_64-w64-mingw32/4.0","0.1-636",NA,NA,NA,NA
