"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"rgdal","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.5-30",NA,NA,NA,NA
"rgeos","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.5-9",NA,NA,NA,NA
"lwgeom","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.2-8",NA,NA,NA,NA
"sp","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.4-6",NA,NA,NA,NA
"abind","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.4-5",NA,NA,NA,NA
"Rcpp","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.0.9",NA,NA,NA,NA
"RcppArmadillo","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.11.0.0.0",NA,NA,NA,NA
"classInt","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.4-3",NA,NA,NA,NA
"DBI","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.1.2",NA,NA,NA,NA
"e1071","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.7-9",NA,NA,NA,NA
"magrittr","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","2.0.3",NA,NA,NA,NA
"proxy","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.4-26",NA,NA,NA,NA
"rlang","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.0.3",NA,NA,NA,NA
"s2","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.0.7",NA,NA,NA,NA
"units","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.8-0",NA,NA,NA,NA
"wk","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.6.0",NA,NA,NA,NA
"raster","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","3.5-21",NA,NA,NA,NA
"terra","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.5-34",NA,NA,NA,NA
"stars","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","0.5-5",NA,NA,NA,NA
"sf","/home/cbarros/GitHub/LandscapesInMotion/packages/x86_64-pc-linux-gnu/4.1","1.0-7",NA,NA,NA,NA
